,County/Parish,"Notice
Date","Received
Date","Effective 
Date",Company,"Layoff/
Closure","No. Of
Employees",Address
88,San Diego County,2022-08-09 00:00:00,2022-08-09 00:00:00,2022-10-04 00:00:00,"Modern Times Drinks, Inc.",Closure Permanent,57,3725 Greenwood St.  San Diego CA 92110
89,San Diego County,2022-08-09 00:00:00,2022-08-09 00:00:00,2022-10-04 00:00:00,"Modern Times Drinks, Inc.",Closure Permanent,16,3612 Kurtz St.  San Dieg CA 92110
90,San Diego County,2022-08-09 00:00:00,2022-08-09 00:00:00,2022-10-04 00:00:00,"Modern Times Drinks, Inc.",Closure Permanent,3,3000 Upas St.  San Diego CA 92104
91,San Diego County,2022-08-09 00:00:00,2022-08-09 00:00:00,2022-10-04 00:00:00,"Modern Times Drinks, Inc.",Closure Permanent,15,470 S. Coast Hwy 101  Encinitas CA 92024
92,Los Angeles County,2022-08-03 00:00:00,2022-08-10 00:00:00,2022-10-04 00:00:00,Godspeed Logistics LLC,Closure Permanent,64,4187 Temple City Blvd.  Rosemead CA 91770
93,Orange County,2022-08-04 00:00:00,2022-08-10 00:00:00,2022-10-07 00:00:00,"Safran Cabin Galleys US, Inc.",Closure Permanent,100,17311 Nichols Lane  Huntington Beach CA 92647
94,San Bernardino County,2022-08-05 00:00:00,2022-08-10 00:00:00,2022-10-05 00:00:00,Hubbell Power Systems,Closure Permanent,193,500 S. Dupont Ave  Ontario CA 91761
95,San Francisco County,2022-07-29 00:00:00,2022-08-10 00:00:00,2022-09-30 00:00:00,San Francisco Housing Authority,Layoff Permanent,15,1815 Egbert Avenue  San Francisco CA 94124
96,San Francisco County,2022-07-29 00:00:00,2022-08-10 00:00:00,2022-09-30 00:00:00,San Francisco Housing Authority,Layoff Permanent,65,1654 Sunnydale Avenue  San Francisco CA 94134
97,San Francisco County,2022-07-29 00:00:00,2022-08-10 00:00:00,2022-09-30 00:00:00,San Francisco Housing Authority,Layoff Permanent,66,1095 Connecticut St.  San Francisco CA 94107
98,Riverside County,2022-08-08 00:00:00,2022-08-11 00:00:00,2022-08-08 00:00:00,"HCI, LLC",Closure Permanent,111,5924 Fremont Street  Riverside CA 92504
99,Riverside County,2022-08-08 00:00:00,2022-08-11 00:00:00,2022-08-08 00:00:00,"HCI, LLC",Closure Permanent,30,6830 Airport Drive Suite A  Riverside CA 92504
100,Riverside County,2022-08-08 00:00:00,2022-08-11 00:00:00,2022-08-08 00:00:00,"HCI, LLC",Closure Permanent,31,6807 Airport Drive  Riverside CA 92504
101,San Bernardino County,2022-08-08 00:00:00,2022-08-11 00:00:00,2022-08-08 00:00:00,"HCI, LLC",Closure Permanent,109,11080 Cherry Avenue  Fontana CA 92337
102,Orange County,2022-08-11 00:00:00,2022-08-15 00:00:00,2022-10-31 00:00:00,Fasnap Corporation,Closure Permanent,5,1320 N. Jefferson St.  Anaheim CA 92807
103,Los Angeles County,2022-08-01 00:00:00,2022-08-15 00:00:00,2022-09-30 00:00:00,"Wallboard Tool Co., Inc.",Closure Permanent,100,1697 Seabright Ave  Long Beach CA 90813
104,San Francisco County,2022-08-08 00:00:00,2022-08-15 00:00:00,2022-08-19 00:00:00,"Tempo Automation, Inc.",Layoff Permanent,54,2460 Alameda St.  San Francisco CA 94103
105,Los Angeles County,2022-08-09 00:00:00,2022-08-16 00:00:00,2022-10-08 00:00:00,Shift Technologies Inc.,Layoff Permanent,77,12910 Mulberry Drive  Whittier CA 90602
106,Alameda County,2022-08-09 00:00:00,2022-08-16 00:00:00,2022-10-08 00:00:00,Shift Technologies Inc.,Layoff Permanent,52,2000 Maritime Street #100  Oakland CA 94607
107,Orange County,2022-03-22 00:00:00,2022-08-16 00:00:00,2022-06-14 00:00:00,"Teva Parental Medicines, Inc.",Closure Permanent,305,19 Hughes  Irvine CA 92618
108,Sacramento County,2022-08-09 00:00:00,2022-08-16 00:00:00,2022-10-08 00:00:00,Shift Technologies Inc.,Closure Permanent,81,175 Commerce Circle  Sacramento CA 95815
109,San Diego County,2022-08-09 00:00:00,2022-08-16 00:00:00,2022-10-08 00:00:00,Shift Technologies Inc.,Closure Permanent,53,3939 Market Street  San Diego CA 92102
110,Los Angeles County,2022-08-09 00:00:00,2022-08-16 00:00:00,2022-10-08 00:00:00,Shift Technologies Inc.,Closure Permanent,33,21243 S Avalon Blvd  Carson CA 90745
111,Amador County,2022-08-15 00:00:00,2022-08-17 00:00:00,2022-08-10 00:00:00,Timber Products Company,Closure Permanent,145,11610 Ampine Fibreform Road  Sutter Creek CA 95685
112,San Mateo County,2022-08-08 00:00:00,2022-08-17 00:00:00,2022-10-07 00:00:00,Atara Biotherapeutics,Layoff Permanent,14,611 Gateway Blvd #900  South San Francisco CA 94080
113,Santa Clara County,2022-08-12 00:00:00,2022-08-17 00:00:00,2022-08-15 00:00:00,Malwarebytes,Layoff Permanent,47,3979 Freedom Circle  Santa Clara CA 95054
114,Orange County,2022-08-15 00:00:00,2022-08-17 00:00:00,2022-10-14 00:00:00,"Avanir Pharmaceuticals, Inc.",Layoff Permanent,16,"30 Enterprise, Suite 200  Aliso Viejo CA 92656"
115,Ventura County,2022-08-08 00:00:00,2022-08-17 00:00:00,2022-10-07 00:00:00,Atara Biotherapeutics,Layoff Permanent,55,"2380 Conejo Spectrum St, Suite 200  Thousand Oaks CA 91320"
116,Ventura County,2022-08-08 00:00:00,2022-08-17 00:00:00,2022-10-07 00:00:00,Atara Biotherapeutics,Layoff Permanent,8,1280 Rancho Conejo Blvd.  Thousand Oaks CA 91320
117,Marin County,2022-08-15 00:00:00,2022-08-17 00:00:00,2022-10-14 00:00:00,Autodesk,Closure Permanent,578,111 McInnis Parkway  San Rafael CA 94903
118,Fresno County,2022-08-03 00:00:00,2022-08-18 00:00:00,2022-09-30 00:00:00,Promenade Care Center LLC,Closure Permanent,111,2715 Fresno Street  Fresno CA 93721
119,Stanislaus County,2022-07-29 00:00:00,2022-08-18 00:00:00,2022-10-03 00:00:00,Silgan Containers,Layoff Temporary,51,567 S. Riverside Drive  Modesto CA 95354
120,Stanislaus County,2022-08-11 00:00:00,2022-08-18 00:00:00,2022-10-10 00:00:00,Silgan Containers,Layoff Temporary,35,430 Doherty Avenue  Modesto CA 95354
121,San Bernardino County,2022-07-21 00:00:00,2022-08-19 00:00:00,2022-10-11 00:00:00,King&rsquo;s Fish House,Closure Temporary,74,12427 North Mainstreet  Rancho Cucamonga CA 91739
122,San Mateo County,2022-08-19 00:00:00,2022-08-22 00:00:00,2022-09-30 00:00:00,"PACT Pharma, Inc.",Layoff Permanent,51,"2 Corporate Dr., South  South San Francisco CA 94080"
123,Alameda County,2022-08-25 00:00:00,2022-08-26 00:00:00,2022-10-24 00:00:00,Zymergen Inc.,Layoff Permanent,80,"5980 Horton Street, Suite 105  Emeryville CA 94608"
124,San Diego County,2022-08-26 00:00:00,2022-08-26 00:00:00,2022-10-31 00:00:00,"Cal-Multi, LLC",Layoff Permanent,100,7720 Kenamar Court Ste A  San Diego CA 92121
125,Los Angeles County,2022-08-29 00:00:00,2022-08-29 00:00:00,2022-10-31 00:00:00,"Santa Teresita, Inc.",Closure Permanent,96,819 Buena Vista St  Duarte CA 91010
126,Los Angeles County,2022-08-26 00:00:00,2022-08-29 00:00:00,2022-10-25 00:00:00,"NBCUniversal Media, LLC and NBCUniversal Production Services, LLC",Layoff Permanent,37,"100 Universal City Plaza, Bldg. 1440  Universal City CA 91608"
127,Los Angeles County,2022-08-26 00:00:00,2022-08-31 00:00:00,2022-10-28 00:00:00,Dacor,Layoff Permanent,91,14425 Clark Avenue  City of Industry CA 91745
128,Santa Barbara County,2022-08-25 00:00:00,2022-08-31 00:00:00,2022-10-03 00:00:00,Mechanics Bank,Closure Permanent,56,2100 South Blosser Road  Santa Maria CA 93458
129,Los Angeles County,2022-08-31 00:00:00,2022-09-01 00:00:00,2022-09-01 00:00:00,"Snap, Inc. wholly owned subsidiary of PSA Risk Management Services Inc.",Layoff Permanent,401,3000 31st Street  Santa Monica CA 90405
130,Riverside County,2022-08-31 00:00:00,2022-09-01 00:00:00,2022-11-01 00:00:00,Infineon Technologies Americas Corp.,Closure Permanent,375,41915 Business Park Drive  Temecula CA 92590
131,Santa Clara County,2022-08-31 00:00:00,2022-09-02 00:00:00,2022-09-01 00:00:00,"Snap Inc., subsidiary of PSA Risk Management Services",Layoff Permanent,44,"395 Page Mill Road, 3rd Floor  Palo Alto CA 94306"
132,Orange County,2022-09-01 00:00:00,2022-09-02 00:00:00,2022-09-30 00:00:00,Elwyn California,Layoff Permanent,51,18325 Mt. Baldy Circle  Fountain Valley CA 92708
133,San Francisco County,2022-08-31 00:00:00,2022-09-02 00:00:00,2022-09-01 00:00:00,"Snap, Inc. wholly owned subsidiary of PSA Risk Management Services Inc.",Layoff Permanent,40,"875 Howard St, 6th Floor  San Francisco CA 94109"
134,Kern County,2022-09-01 00:00:00,2022-09-06 00:00:00,2022-10-31 00:00:00,Bakersfield Physical Therapy Clinic,Closure Permanent,9,8200 Stockdale Hwy B1  Bakersfield CA 93311
135,Los Angeles County,2022-09-01 00:00:00,2022-09-06 00:00:00,2022-10-14 00:00:00,USRA at AFRC,Layoff Permanent,17,2825 E Avenue P  Palmdale CA 93550
136,Los Angeles County,2022-09-01 00:00:00,2022-09-06 00:00:00,2023-01-31 00:00:00,USRA at AFRC,Layoff Permanent,5,2825 E Avenue P  Palmdale CA 93550
137,San Mateo County,2022-09-03 00:00:00,2022-09-07 00:00:00,2022-09-09 00:00:00,"Reali, Inc.",Closure Permanent,132,777 Mariners Island Blvd #210  San Mateo CA 94402
138,San Bernardino County,2022-09-01 00:00:00,2022-09-07 00:00:00,2022-10-31 00:00:00,"ABM Industry Groups, LLC",Layoff Permanent,66,2900 E. Airport Drive  Ontario CA 91761
139,Los Angeles County,2022-08-31 00:00:00,2022-09-08 00:00:00,2022-10-30 00:00:00,"GoodRx, Inc.",Layoff Permanent,69,2701 Olympic Blvd.  Santa Monica CA 90404
140,San Benito County,2022-09-08 00:00:00,2022-09-08 00:00:00,2022-11-11 00:00:00,Triple B Corporation at Jardines Farming and Harvesting Operations,Closure Permanent,48,1681 San Justo Rd.  San Juan Bautista CA 95045
141,Los Angeles County,2022-09-06 00:00:00,2022-09-08 00:00:00,2022-11-11 00:00:00,Syncreon,Closure Permanent,33,19200 S. Western Avenue  Torrance CA 90501
142,Alameda County,2022-08-05 00:00:00,2022-09-09 00:00:00,2022-12-31 00:00:00,"Eko Devices, Inc.",Closure Permanent,5,30800 Santana St.  Hayward CA 94541
143,Santa Clara County,2022-09-07 00:00:00,2022-09-09 00:00:00,2023-04-30 00:00:00,Sierra Monitor Corporation,Closure Permanent,26,1991 Tarob Ct.  Milpitas CA 95035
144,Stanislaus County,2022-09-06 00:00:00,2022-09-09 00:00:00,2022-11-05 00:00:00,Fresh Ideas Flower Company,Layoff Permanent,13,1302 9th St  Modesto CA 95354
145,Los Angeles County,2022-09-08 00:00:00,2022-09-12 00:00:00,2022-11-08 00:00:00,Temple-Culberson Enterprises LLC,Closure Permanent,50,9350 Rayo Ave.  South Gate CA 90280
146,San Diego County,2022-08-18 00:00:00,2022-09-12 00:00:00,2022-10-22 00:00:00,"Clairemont Healthcare & Wellness Centre, LLC dba Abby Gardens Healthcare Center",Closure Permanent,104,8060 Frost Street  San Diego CA 92123
